Date,Time,Room,Personnel Logs,Incident,Victim
8/30/2022,2:57 AM,Kitchen,"Berry Clementi, Leta Tonn, Mada Pirolini, Dorolice Matthews, Arie Mum, Alisun Gauge, Liuka Deesly, Cully McKirdy, Olga Paggitt, Elle Banna, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni",Murder,Perceval Begg
8/31/2022,6:11 AM,Toilet,"Loren Torricina, Marjory Greswell",,
9/14/2022,12:11 AM,Garage,"Elle Banna, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni, Arie Mum, Alisun Gauge, Liuka Deesly, Cully McKirdy, Leta Tonn, Mada Pirolini, Olga Paggitt",Murder,Essy Keppie
9/14/2022,4:55 PM,Basement,"Prudence Slaight, Marjory Greswell",,
9/14/2022,11:47 AM,Balcony,"Brigitta Breddy, Martica Eitter",,
9/14/2022,11:58 AM,Toilet,"Meggy Ditts, Marjory Greswell",,
9/22/2022,6:55 AM,Entrance,"Essy Keppie, Martica Eitter, Nero Simonite, Cully McKirdy, ",,
9/23/2022,5:18 AM,Yoga Room,"Leta Tonn, Dorolice Matthews",,
9/28/2022,6:21 PM,Kitchen,"Marjory Greswell, Meggy Ditts",,
9/29/2022,6:41 AM,Office,"Kurtis Manston, Brigitta Breddy, Martica Eitter, Nero Simonite, Jessie Lages",,
